Number,Code,Sample,CLDR Short Name,Keywords
1435,U+2B1C,,white large square,geometric | square | white large square
1436,U+25FC,,black medium square,black medium square | geometric | square
1437,U+25FB,,white medium square,geometric | square | white medium square
1438,U+25FE,,black medium-small square,black medium-small square | geometric | square
1439,U+25FD,,white medium-small square,geometric | square | white medium-small square
1440,U+25AA,,black small square,black small square | geometric | square
1441,U+25AB,,white small square,geometric | square | white small square
1442,U+1F536,,large orange diamond,diamond | geometric | large orange diamond | orange
1443,U+1F537,,large blue diamond,blue | diamond | geometric | large blue diamond
1444,U+1F538,,small orange diamond,diamond | geometric | orange | small orange diamond
1445,U+1F539,,small blue diamond,blue | diamond | geometric | small blue diamond
1446,U+1F53A,,red triangle pointed up,geometric | red | red triangle pointed up
1447,U+1F53B,,red triangle pointed down,down | geometric | red | red triangle pointed down
1448,U+1F4A0,,diamond with a dot,comic | diamond | diamond with a dot | geometric | inside
1449,U+1F518,,radio button,button | geometric | radio
1450,U+1F533,,white square button,button | geometric | outlined | square | white square button
1451,U+1F532,,black square button,black square button | button | geometric | square
1452,U+1F3C1,,chequered flag,checkered | chequered | chequered flag | racing
1453,U+1F6A9,,triangular flag,post | triangular flag
1454,U+1F38C,,crossed flags,celebration | cross | crossed | crossed flags | Japanese
1455,U+1F3F4,,black flag,black flag | waving
1456,U+1F3F3,,white flag,waving | white flag
1457,U+1F3F3 U+FE0F U+200D U+1F308,,rainbow flag,pride | rainbow | rainbow flag
1458,U+1F3F4 U+200D U+2620 U+FE0F,,pirate flag,Jolly Roger | pirate | pirate flag | plunder | treasure
1459,U+1F1E6 U+1F1E8,,flag: Ascension Island,flag
1460,U+1F1E6 U+1F1E9,,flag: Andorra,flag
1461,U+1F1E6 U+1F1EA,,flag: United Arab Emirates,flag
1462,U+1F1E6 U+1F1EB,,flag: Afghanistan,flag
1463,U+1F1E6 U+1F1EC,,flag: Antigua & Barbuda,flag
1464,U+1F1E6 U+1F1EE,,flag: Anguilla,flag
1465,U+1F1E6 U+1F1F1,,flag: Albania,flag
