Number,Code,Sample,CLDR Short Name,Keywords
391,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,,man lifting weights,man | man lifting weights | weight lifter
392,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,,woman lifting weights,weight lifter | woman | woman lifting weights
393,U+1F6B4,,person biking,bicycle | biking | cyclist | person biking
394,U+1F6B4 U+200D U+2642 U+FE0F,,man biking,bicycle | biking | cyclist | man
395,U+1F6B4 U+200D U+2640 U+FE0F,,woman biking,bicycle | biking | cyclist | woman
396,U+1F6B5,,person mountain biking,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking
397,U+1F6B5 U+200D U+2642 U+FE0F,,man mountain biking,bicycle | bike | cyclist | man | man mountain biking | mountain
398,U+1F6B5 U+200D U+2640 U+FE0F,,woman mountain biking,bicycle | bike | biking | cyclist | mountain | woman
399,U+1F938,,person cartwheeling,cartwheel | gymnastics | person cartwheeling
400,U+1F938 U+200D U+2642 U+FE0F,,man cartwheeling,cartwheel | gymnastics | man | man cartwheeling
401,U+1F938 U+200D U+2640 U+FE0F,,woman cartwheeling,cartwheel | gymnastics | woman | woman cartwheeling
402,U+1F93C,,people wrestling,people wrestling | wrestle | wrestler
403,U+1F93C U+200D U+2642 U+FE0F,,men wrestling,men | men wrestling | wrestle
404,U+1F93C U+200D U+2640 U+FE0F,,women wrestling,women | women wrestling | wrestle
405,U+1F93D,,person playing water polo,person playing water polo | polo | water
406,U+1F93D U+200D U+2642 U+FE0F,,man playing water polo,man | man playing water polo | water polo
407,U+1F93D U+200D U+2640 U+FE0F,,woman playing water polo,water polo | woman | woman playing water polo
408,U+1F93E,,person playing handball,ball | handball | person playing handball
409,U+1F93E U+200D U+2642 U+FE0F,,man playing handball,handball | man | man playing handball
410,U+1F93E U+200D U+2640 U+FE0F,,woman playing handball,handball | woman | woman playing handball
411,U+1F939,,person juggling,balance | juggle | multitask | person juggling | skill
412,U+1F939 U+200D U+2642 U+FE0F,,man juggling,juggling | man | multitask
413,U+1F939 U+200D U+2640 U+FE0F,,woman juggling,juggling | multitask | woman
414,U+1F9D8,,person in lotus position,meditation | person in lotus position | yoga | serenity
415,U+1F9D8 U+200D U+2642 U+FE0F,,man in lotus position,man in lotus position | meditation | yoga
416,U+1F9D8 U+200D U+2640 U+FE0F,,woman in lotus position,meditation | woman in lotus position | yoga
417,U+1F6C0,,person taking bath,bath | bathtub | person taking bath
418,U+1F6CC,,person in bed,hotel | person in bed | sleep
419,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,,⊛ people holding hands,couple | hand | hold | holding hands | people holding hands | person
420,U+1F46D,,women holding hands,couple | hand | holding hands | women | women holding hands
421,U+1F46B,,woman and man holding hands,couple | hand | hold | holding hands | man | woman | woman and man holding hands
422,U+1F46C,,men holding hands,couple | Gemini | holding hands | man | men | men holding hands | twins | zodiac
423,U+1F48F,,kiss,couple | kiss
424,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,,"kiss: woman, man",couple | kiss | man | woman
425,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,,"kiss: man, man",couple | kiss | man
426,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,,"kiss: woman, woman",couple | kiss | woman
427,U+1F491,,couple with heart,couple | couple with heart | love
428,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,,"couple with heart: woman, man",couple | couple with heart | love | man | woman
429,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,,"couple with heart: man, man",couple | couple with heart | love | man
430,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,,"couple with heart: woman, woman",couple | couple with heart | love | woman
431,U+1F46A,,family,family
432,U+1F468 U+200D U+1F469 U+200D U+1F466,,"family: man, woman, boy",boy | family | man | woman
433,U+1F468 U+200D U+1F469 U+200D U+1F467,,"family: man, woman, girl",family | girl | man | woman
434,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,,"family: man, woman, girl, boy",boy | family | girl | man | woman
435,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,,"family: man, woman, boy, boy",boy | family | man | woman
436,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,,"family: man, woman, girl, girl",family | girl | man | woman
437,U+1F468 U+200D U+1F468 U+200D U+1F466,,"family: man, man, boy",boy | family | man
438,U+1F468 U+200D U+1F468 U+200D U+1F467,,"family: man, man, girl",family | girl | man
439,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,,"family: man, man, girl, boy",boy | family | girl | man
440,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,,"family: man, man, boy, boy",boy | family | man
441,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,,"family: man, man, girl, girl",family | girl | man
442,U+1F469 U+200D U+1F469 U+200D U+1F466,,"family: woman, woman, boy",boy | family | woman
443,U+1F469 U+200D U+1F469 U+200D U+1F467,,"family: woman, woman, girl",family | girl | woman
444,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,,"family: woman, woman, girl, boy",boy | family | girl | woman
445,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,,"family: woman, woman, boy, boy",boy | family | woman
446,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,,"family: woman, woman, girl, girl",family | girl | woman
447,U+1F468 U+200D U+1F466,,"family: man, boy",boy | family | man
448,U+1F468 U+200D U+1F466 U+200D U+1F466,,"family: man, boy, boy",boy | family | man
449,U+1F468 U+200D U+1F467,,"family: man, girl",family | girl | man
450,U+1F468 U+200D U+1F467 U+200D U+1F466,,"family: man, girl, boy",boy | family | girl | man
451,U+1F468 U+200D U+1F467 U+200D U+1F467,,"family: man, girl, girl",family | girl | man
452,U+1F469 U+200D U+1F466,,"family: woman, boy",boy | family | woman
453,U+1F469 U+200D U+1F466 U+200D U+1F466,,"family: woman, boy, boy",boy | family | woman
454,U+1F469 U+200D U+1F467,,"family: woman, girl",family | girl | woman
455,U+1F469 U+200D U+1F467 U+200D U+1F466,,"family: woman, girl, boy",boy | family | girl | woman
456,U+1F469 U+200D U+1F467 U+200D U+1F467,,"family: woman, girl, girl",family | girl | woman
457,U+1F5E3,,speaking head,face | head | silhouette | speak | speaking
458,U+1F464,,bust in silhouette,bust | bust in silhouette | silhouette
459,U+1F465,,busts in silhouette,bust | busts in silhouette | silhouette
460,U+1F463,,footprints,clothing | footprint | footprints | print
461,U+1F9B0,,red hair,ginger | red hair | redhead
462,U+1F9B1,,curly hair,afro | curly | curly hair | ringlets
463,U+1F9B3,,white hair,gray | hair | old | white
464,U+1F9B2,,bald,bald | chemotherapy | hairless | no hair | shaven
465,U+1F435,,monkey face,face | monkey
466,U+1F412,,monkey,monkey
467,U+1F98D,,gorilla,gorilla
468,U+1F9A7,,⊛ orangutan,ape | orangutan
469,U+1F436,,dog face,dog | face | pet
470,U+1F415,,dog,dog | pet
471,U+1F9AE,,⊛ guide dog,accessibility | blind | guide | guide dog
472,U+1F415 U+200D U+1F9BA,,⊛ service dog,accessibility | assistance | dog | service
473,U+1F429,,poodle,dog | poodle
474,U+1F43A,,wolf,face | wolf
475,U+1F98A,,fox,face | fox
476,U+1F99D,,raccoon,curious | raccoon | sly
477,U+1F431,,cat face,cat | face | pet
478,U+1F408,,cat,cat | pet
479,U+1F981,,lion,face | Leo | lion | zodiac
480,U+1F42F,,tiger face,face | tiger
481,U+1F405,,tiger,tiger
482,U+1F406,,leopard,leopard
483,U+1F434,,horse face,face | horse
484,U+1F40E,,horse,equestrian | horse | racehorse | racing
485,U+1F984,,unicorn,face | unicorn
486,U+1F993,,zebra,stripe | zebra
487,U+1F98C,,deer,deer
488,U+1F42E,,cow face,cow | face
489,U+1F402,,ox,bull | ox | Taurus | zodiac
490,U+1F403,,water buffalo,buffalo | water
491,U+1F404,,cow,cow
492,U+1F437,,pig face,face | pig
493,U+1F416,,pig,pig | sow
494,U+1F417,,boar,boar | pig
495,U+1F43D,,pig nose,face | nose | pig
496,U+1F40F,,ram,Aries | male | ram | sheep | zodiac
497,U+1F411,,ewe,ewe | female | sheep
498,U+1F410,,goat,Capricorn | goat | zodiac
499,U+1F42A,,camel,camel | dromedary | hump
500,U+1F42B,,two-hump camel,bactrian | camel | hump | two-hump camel
501,U+1F999,,llama,alpaca | guanaco | llama | vicuña | wool
502,U+1F992,,giraffe,giraffe | spots
503,U+1F418,,elephant,elephant
504,U+1F98F,,rhinoceros,rhinoceros
505,U+1F99B,,hippopotamus,hippo | hippopotamus
506,U+1F42D,,mouse face,face | mouse
507,U+1F401,,mouse,mouse
508,U+1F400,,rat,rat
509,U+1F439,,hamster,face | hamster | pet
510,U+1F430,,rabbit face,bunny | face | pet | rabbit
511,U+1F407,,rabbit,bunny | pet | rabbit
512,U+1F43F,,chipmunk,chipmunk | squirrel
513,U+1F994,,hedgehog,hedgehog | spiny
514,U+1F987,,bat,bat | vampire
515,U+1F43B,,bear,bear | face
516,U+1F428,,koala,bear | koala
517,U+1F43C,,panda,face | panda
518,U+1F9A5,,⊛ sloth,lazy | sloth | slow
519,U+1F9A6,,⊛ otter,fishing | otter | playful
520,U+1F9A8,,⊛ skunk,skunk | stink
521,U+1F998,,kangaroo,Australia | joey | jump | kangaroo | marsupial
522,U+1F9A1,,badger,badger | honey badger | pester
523,U+1F43E,,paw prints,feet | paw | paw prints | print
524,U+1F983,,turkey,bird | turkey
525,U+1F414,,chicken,bird | chicken
526,U+1F413,,rooster,bird | rooster
527,U+1F423,,hatching chick,baby | bird | chick | hatching
528,U+1F424,,baby chick,baby | bird | chick
529,U+1F425,,front-facing baby chick,baby | bird | chick | front-facing baby chick
530,U+1F426,,bird,bird
531,U+1F427,,penguin,bird | penguin
532,U+1F54A,,dove,bird | dove | fly | peace
533,U+1F985,,eagle,bird | eagle
534,U+1F986,,duck,bird | duck
535,U+1F9A2,,swan,bird | cygnet | swan | ugly duckling
536,U+1F989,,owl,bird | owl | wise
537,U+1F9A9,,⊛ flamingo,flamboyant | flamingo | tropical
538,U+1F99A,,peacock,bird | ostentatious | peacock | peahen | proud
539,U+1F99C,,parrot,bird | parrot | pirate | talk
540,U+1F438,,frog,face | frog
541,U+1F40A,,crocodile,crocodile
542,U+1F422,,turtle,terrapin | tortoise | turtle
543,U+1F98E,,lizard,lizard | reptile
544,U+1F40D,,snake,bearer | Ophiuchus | serpent | snake | zodiac
545,U+1F432,,dragon face,dragon | face | fairy tale
546,U+1F409,,dragon,dragon | fairy tale
547,U+1F995,,sauropod,brachiosaurus | brontosaurus | diplodocus | sauropod
548,U+1F996,,T-Rex,T-Rex | Tyrannosaurus Rex
549,U+1F433,,spouting whale,face | spouting | whale
550,U+1F40B,,whale,whale
551,U+1F42C,,dolphin,dolphin | flipper
552,U+1F41F,,fish,fish | Pisces | zodiac
553,U+1F420,,tropical fish,fish | tropical
554,U+1F421,,blowfish,blowfish | fish
555,U+1F988,,shark,fish | shark
556,U+1F419,,octopus,octopus
557,U+1F41A,,spiral shell,shell | spiral
558,U+1F40C,,snail,snail
559,U+1F98B,,butterfly,butterfly | insect | pretty
560,U+1F41B,,bug,bug | insect
561,U+1F41C,,ant,ant | insect
562,U+1F41D,,honeybee,bee | honeybee | insect
563,U+1F41E,,lady beetle,beetle | insect | lady beetle | ladybird | ladybug
564,U+1F997,,cricket,cricket | grasshopper | Orthoptera
565,U+1F577,,spider,insect | spider
566,U+1F578,,spider web,spider | web
567,U+1F982,,scorpion,scorpio | Scorpio | scorpion | zodiac
568,U+1F99F,,mosquito,disease | fever | malaria | mosquito | pest | virus | insect
569,U+1F9A0,,microbe,amoeba | bacteria | microbe | virus
570,U+1F490,,bouquet,bouquet | flower
571,U+1F338,,cherry blossom,blossom | cherry | flower
572,U+1F4AE,,white flower,flower | white flower
573,U+1F3F5,,rosette,plant | rosette
574,U+1F339,,rose,flower | rose
575,U+1F940,,wilted flower,flower | wilted
576,U+1F33A,,hibiscus,flower | hibiscus
577,U+1F33B,,sunflower,flower | sun | sunflower
578,U+1F33C,,blossom,blossom | flower
579,U+1F337,,tulip,flower | tulip
580,U+1F331,,seedling,seedling | young
581,U+1F332,,evergreen tree,evergreen tree | tree
582,U+1F333,,deciduous tree,deciduous | shedding | tree
583,U+1F334,,palm tree,palm | tree
584,U+1F335,,cactus,cactus | plant
585,U+1F33E,,sheaf of rice,ear | grain | rice | sheaf of rice
586,U+1F33F,,herb,herb | leaf
587,U+2618,,shamrock,plant | shamrock
588,U+1F340,,four leaf clover,4 | clover | four | four-leaf clover | leaf
589,U+1F341,,maple leaf,falling | leaf | maple
590,U+1F342,,fallen leaf,fallen leaf | falling | leaf
591,U+1F343,,leaf fluttering in wind,blow | flutter | leaf | leaf fluttering in wind | wind
592,U+1F347,,grapes,fruit | grape | grapes
593,U+1F348,,melon,fruit | melon
594,U+1F349,,watermelon,fruit | watermelon
595,U+1F34A,,tangerine,fruit | orange | tangerine
596,U+1F34B,,lemon,citrus | fruit | lemon
597,U+1F34C,,banana,banana | fruit
598,U+1F34D,,pineapple,fruit | pineapple
599,U+1F96D,,mango,fruit | mango | tropical | shaker
600,U+1F34E,,red apple,apple | fruit | red
601,U+1F34F,,green apple,apple | fruit | green
602,U+1F350,,pear,fruit | pear
603,U+1F351,,peach,fruit | peach
604,U+1F352,,cherries,berries | cherries | cherry | fruit | red
605,U+1F353,,strawberry,berry | fruit | strawberry
606,U+1F95D,,kiwi fruit,food | fruit | kiwi
607,U+1F345,,tomato,fruit | tomato | vegetable
608,U+1F965,,coconut,coconut | palm | piña colada
609,U+1F951,,avocado,avocado | food | fruit
610,U+1F346,,eggplant,aubergine | eggplant | vegetable
611,U+1F954,,potato,food | potato | vegetable
612,U+1F955,,carrot,carrot | food | vegetable
613,U+1F33D,,ear of corn,corn | ear | ear of corn | maize | maze
614,U+1F336,,hot pepper,hot | pepper
615,U+1F952,,cucumber,cucumber | food | pickle | vegetable
616,U+1F96C,,leafy green,bok choy | cabbage | kale | leafy green | lettuce
617,U+1F966,,broccoli,broccoli | wild cabbage
618,U+1F9C4,,⊛ garlic,flavoring | garlic
619,U+1F9C5,,⊛ onion,flavoring | onion
620,U+1F344,,mushroom,mushroom | toadstool
621,U+1F95C,,peanuts,food | nut | peanut | peanuts | vegetable
622,U+1F330,,chestnut,chestnut | plant
623,U+1F35E,,bread,bread | loaf
624,U+1F950,,croissant,bread | breakfast | croissant | food | french | roll
625,U+1F956,,baguette bread,baguette | bread | food | french
626,U+1F968,,pretzel,pretzel | twisted | convoluted
627,U+1F96F,,bagel,bagel | bakery | breakfast | schmear
628,U+1F95E,,pancakes,breakfast | crêpe | food | hotcake | pancake
629,U+1F9C7,,⊛ waffle,breakfast | indecisive | iron | waffle
630,U+1F9C0,,cheese wedge,cheese | cheese wedge
631,U+1F356,,meat on bone,bone | meat | meat on bone
632,U+1F357,,poultry leg,bone | chicken | drumstick | leg | poultry
633,U+1F969,,cut of meat,chop | cut of meat | lambchop | porkchop | steak
634,U+1F953,,bacon,bacon | breakfast | food | meat
635,U+1F354,,hamburger,burger | hamburger
636,U+1F35F,,french fries,french | fries
637,U+1F355,,pizza,cheese | pizza | slice
638,U+1F32D,,hot dog,frankfurter | hot dog | hotdog | sausage
639,U+1F96A,,sandwich,bread | sandwich
640,U+1F32E,,taco,mexican | taco
641,U+1F32F,,burrito,burrito | mexican | wrap
642,U+1F959,,stuffed flatbread,falafel | flatbread | food | gyro | kebab | stuffed
643,U+1F9C6,,⊛ falafel,chickpea | falafel | meatball
644,U+1F95A,,egg,breakfast | egg | food
645,U+1F373,,cooking,breakfast | cooking | egg | frying | pan
646,U+1F958,,shallow pan of food,casserole | food | paella | pan | shallow | shallow pan of food
647,U+1F372,,pot of food,pot | pot of food | stew
648,U+1F963,,bowl with spoon,bowl with spoon | breakfast | cereal | congee | oatmeal | porridge
649,U+1F957,,green salad,food | green | salad
650,U+1F37F,,popcorn,popcorn
651,U+1F9C8,,⊛ butter,butter | dairy
652,U+1F9C2,,salt,condiment | salt | shaker
653,U+1F96B,,canned food,can | canned food
654,U+1F371,,bento box,bento | box
655,U+1F358,,rice cracker,cracker | rice
656,U+1F359,,rice ball,ball | Japanese | rice
657,U+1F35A,,cooked rice,cooked | rice
658,U+1F35B,,curry rice,curry | rice
659,U+1F35C,,steaming bowl,bowl | noodle | ramen | steaming
660,U+1F35D,,spaghetti,pasta | spaghetti
661,U+1F360,,roasted sweet potato,potato | roasted | sweet
662,U+1F362,,oden,kebab | oden | seafood | skewer | stick
663,U+1F363,,sushi,sushi
664,U+1F364,,fried shrimp,fried | prawn | shrimp | tempura
665,U+1F365,,fish cake with swirl,cake | fish | fish cake with swirl | pastry | swirl
666,U+1F96E,,moon cake,autumn | festival | moon cake | yuèbǐng
667,U+1F361,,dango,dango | dessert | Japanese | skewer | stick | sweet
668,U+1F95F,,dumpling,dumpling | empanada | gyōza | jiaozi | pierogi | potsticker
669,U+1F960,,fortune cookie,fortune cookie | prophecy
670,U+1F961,,takeout box,oyster pail | takeout box
671,U+1F980,,crab,Cancer | crab | zodiac
672,U+1F99E,,lobster,bisque | claws | lobster | seafood
673,U+1F990,,shrimp,food | shellfish | shrimp | small
674,U+1F991,,squid,food | molusc | squid
675,U+1F9AA,,⊛ oyster,diving | oyster | pearl
676,U+1F366,,soft ice cream,cream | dessert | ice | icecream | soft | sweet
677,U+1F367,,shaved ice,dessert | ice | shaved | sweet
678,U+1F368,,ice cream,cream | dessert | ice | sweet
679,U+1F369,,doughnut,breakfast | dessert | donut | doughnut | sweet
680,U+1F36A,,cookie,cookie | dessert | sweet
681,U+1F382,,birthday cake,birthday | cake | celebration | dessert | pastry | sweet
682,U+1F370,,shortcake,cake | dessert | pastry | shortcake | slice | sweet
683,U+1F9C1,,cupcake,bakery | cupcake | sweet
684,U+1F967,,pie,filling | pastry | pie | fruit | meat
685,U+1F36B,,chocolate bar,bar | chocolate | dessert | sweet
686,U+1F36C,,candy,candy | dessert | sweet
687,U+1F36D,,lollipop,candy | dessert | lollipop | sweet
688,U+1F36E,,custard,custard | dessert | pudding | sweet
689,U+1F36F,,honey pot,honey | honeypot | pot | sweet
690,U+1F37C,,baby bottle,baby | bottle | drink | milk
691,U+1F95B,,glass of milk,drink | glass | glass of milk | milk
692,U+2615,,hot beverage,beverage | coffee | drink | hot | steaming | tea
693,U+1F375,,teacup without handle,beverage | cup | drink | tea | teacup | teacup without handle
694,U+1F376,,sake,bar | beverage | bottle | cup | drink | sake
695,U+1F37E,,bottle with popping cork,bar | bottle | bottle with popping cork | cork | drink | popping
696,U+1F377,,wine glass,bar | beverage | drink | glass | wine
697,U+1F378,,cocktail glass,bar | cocktail | drink | glass
698,U+1F379,,tropical drink,bar | drink | tropical
699,U+1F37A,,beer mug,bar | beer | drink | mug
700,U+1F37B,,clinking beer mugs,bar | beer | clink | clinking beer mugs | drink | mug
701,U+1F942,,clinking glasses,celebrate | clink | clinking glasses | drink | glass
702,U+1F943,,tumbler glass,glass | liquor | shot | tumbler | whisky
703,U+1F964,,cup with straw,cup with straw | juice | soda | malt | soft drink | water
704,U+1F9C3,,⊛ beverage box,beverage | box | juice | straw | sweet | juice box
705,U+1F9C9,,⊛ mate,drink | mate
706,U+1F9CA,,⊛ ice,cold | ice | ice cube | iceberg
707,U+1F962,,chopsticks,chopsticks | hashi | jeotgarak | kuaizi
708,U+1F37D,,fork and knife with plate,cooking | fork | fork and knife with plate | knife | plate
709,U+1F374,,fork and knife,cooking | cutlery | fork | fork and knife | knife
710,U+1F944,,spoon,spoon | tableware
711,U+1F52A,,kitchen knife,cooking | hocho | kitchen knife | knife | tool | weapon
712,U+1F3FA,,amphora,amphora | Aquarius | cooking | drink | jug | zodiac
713,U+1F30D,,globe showing Europe-Africa,Africa | earth | Europe | globe | globe showing Europe-Africa | world
714,U+1F30E,,globe showing Americas,Americas | earth | globe | globe showing Americas | world
715,U+1F30F,,globe showing Asia-Australia,Asia | Australia | earth | globe | globe showing Asia-Australia | world
716,U+1F310,,globe with meridians,earth | globe | globe with meridians | meridians | world
717,U+1F5FA,,world map,map | world
718,U+1F5FE,,map of Japan,Japan | map | map of Japan
719,U+1F9ED,,compass,compass | magnetic | navigation | orienteering
720,U+1F3D4,,snow-capped mountain,cold | mountain | snow | snow-capped mountain
721,U+26F0,,mountain,mountain
722,U+1F30B,,volcano,eruption | mountain | volcano
723,U+1F5FB,,mount fuji,fuji | mount fuji | mountain
724,U+1F3D5,,camping,camping
725,U+1F3D6,,beach with umbrella,beach | beach with umbrella | umbrella
726,U+1F3DC,,desert,desert
727,U+1F3DD,,desert island,desert | island
728,U+1F3DE,,national park,national park | park
729,U+1F3DF,,stadium,stadium
730,U+1F3DB,,classical building,classical | classical building
731,U+1F3D7,,building construction,building construction | construction
732,U+1F9F1,,brick,brick | bricks | clay | mortar | wall
733,U+1F3D8,,houses,houses
734,U+1F3DA,,derelict house,derelict | house
735,U+1F3E0,,house,home | house
736,U+1F3E1,,house with garden,garden | home | house | house with garden
737,U+1F3E2,,office building,building | office building
738,U+1F3E3,,Japanese post office,Japanese | Japanese post office | post
739,U+1F3E4,,post office,European | post | post office
740,U+1F3E5,,hospital,doctor | hospital | medicine
741,U+1F3E6,,bank,bank | building
742,U+1F3E8,,hotel,building | hotel
743,U+1F3E9,,love hotel,hotel | love
744,U+1F3EA,,convenience store,convenience | store
745,U+1F3EB,,school,building | school
746,U+1F3EC,,department store,department | store
747,U+1F3ED,,factory,building | factory
748,U+1F3EF,,Japanese castle,castle | Japanese
749,U+1F3F0,,castle,castle | European
750,U+1F492,,wedding,chapel | romance | wedding
751,U+1F5FC,,Tokyo tower,Tokyo | tower
752,U+1F5FD,,Statue of Liberty,liberty | statue | Statue of Liberty
753,U+26EA,,church,Christian | church | cross | religion
754,U+1F54C,,mosque,islam | mosque | Muslim | religion
755,U+1F6D5,,⊛ hindu temple,hindu | temple
756,U+1F54D,,synagogue,Jew | Jewish | religion | synagogue | temple
757,U+26E9,,shinto shrine,religion | shinto | shrine
758,U+1F54B,,kaaba,islam | kaaba | Muslim | religion
759,U+26F2,,fountain,fountain
760,U+26FA,,tent,camping | tent
761,U+1F301,,foggy,fog | foggy
762,U+1F303,,night with stars,night | night with stars | star
763,U+1F3D9,,cityscape,city | cityscape
764,U+1F304,,sunrise over mountains,morning | mountain | sun | sunrise | sunrise over mountains
765,U+1F305,,sunrise,morning | sun | sunrise
766,U+1F306,,cityscape at dusk,city | cityscape at dusk | dusk | evening | landscape | sunset
767,U+1F307,,sunset,dusk | sun | sunset
768,U+1F309,,bridge at night,bridge | bridge at night | night
769,U+2668,,hot springs,hot | hotsprings | springs | steaming
770,U+1F3A0,,carousel horse,carousel | horse
771,U+1F3A1,,ferris wheel,amusement park | ferris | wheel
772,U+1F3A2,,roller coaster,amusement park | coaster | roller
773,U+1F488,,barber pole,barber | haircut | pole
774,U+1F3AA,,circus tent,circus | tent
775,U+1F682,,locomotive,engine | locomotive | railway | steam | train
776,U+1F683,,railway car,car | electric | railway | train | tram | trolleybus
777,U+1F684,,high-speed train,high-speed train | railway | shinkansen | speed | train
778,U+1F685,,bullet train,bullet | railway | shinkansen | speed | train
779,U+1F686,,train,railway | train
780,U+1F687,,metro,metro | subway
781,U+1F688,,light rail,light rail | railway
782,U+1F689,,station,railway | station | train
783,U+1F68A,,tram,tram | trolleybus
784,U+1F69D,,monorail,monorail | vehicle
785,U+1F69E,,mountain railway,car | mountain | railway
786,U+1F68B,,tram car,car | tram | trolleybus
787,U+1F68C,,bus,bus | vehicle
788,U+1F68D,,oncoming bus,bus | oncoming
789,U+1F68E,,trolleybus,bus | tram | trolley | trolleybus
790,U+1F690,,minibus,bus | minibus
791,U+1F691,,ambulance,ambulance | vehicle
792,U+1F692,,fire engine,engine | fire | truck
793,U+1F693,,police car,car | patrol | police
794,U+1F694,,oncoming police car,car | oncoming | police
795,U+1F695,,taxi,taxi | vehicle
796,U+1F696,,oncoming taxi,oncoming | taxi
797,U+1F697,,automobile,automobile | car
798,U+1F698,,oncoming automobile,automobile | car | oncoming
799,U+1F699,,sport utility vehicle,recreational | sport utility | sport utility vehicle
800,U+1F69A,,delivery truck,delivery | truck
801,U+1F69B,,articulated lorry,articulated lorry | lorry | semi | truck
802,U+1F69C,,tractor,tractor | vehicle
803,U+1F3CE,,racing car,car | racing
804,U+1F3CD,,motorcycle,motorcycle | racing
805,U+1F6F5,,motor scooter,motor | scooter
806,U+1F9BD,,⊛ manual wheelchair,accessibility | manual wheelchair
807,U+1F9BC,,⊛ motorized wheelchair,accessibility | motorized wheelchair
808,U+1F6FA,,⊛ auto rickshaw,auto rickshaw | tuk tuk
809,U+1F6B2,,bicycle,bicycle | bike
810,U+1F6F4,,kick scooter,kick | scooter
811,U+1F6F9,,skateboard,board | skateboard
812,U+1F68F,,bus stop,bus | busstop | stop
813,U+1F6E3,,motorway,highway | motorway | road
814,U+1F6E4,,railway track,railway | railway track | train
815,U+1F6E2,,oil drum,drum | oil
816,U+26FD,,fuel pump,diesel | fuel | fuelpump | gas | pump | station
817,U+1F6A8,,police car light,beacon | car | light | police | revolving
818,U+1F6A5,,horizontal traffic light,horizontal traffic light | light | signal | traffic
819,U+1F6A6,,vertical traffic light,light | signal | traffic | vertical traffic light
820,U+1F6D1,,stop sign,octagonal | sign | stop
821,U+1F6A7,,construction,barrier | construction
822,U+2693,,anchor,anchor | ship | tool
823,U+26F5,,sailboat,boat | resort | sailboat | sea | yacht
824,U+1F6F6,,canoe,boat | canoe
825,U+1F6A4,,speedboat,boat | speedboat
826,U+1F6F3,,passenger ship,passenger | ship
827,U+26F4,,ferry,boat | ferry | passenger
828,U+1F6E5,,motor boat,boat | motor boat | motorboat
829,U+1F6A2,,ship,boat | passenger | ship
830,U+2708,,airplane,aeroplane | airplane
831,U+1F6E9,,small airplane,aeroplane | airplane | small airplane
832,U+1F6EB,,airplane departure,aeroplane | airplane | check-in | departure | departures
833,U+1F6EC,,airplane arrival,aeroplane | airplane | airplane arrival | arrivals | arriving | landing
834,U+1FA82,,⊛ parachute,hang-glide | parachute | parasail | skydive
835,U+1F4BA,,seat,chair | seat
836,U+1F681,,helicopter,helicopter | vehicle
837,U+1F69F,,suspension railway,railway | suspension
838,U+1F6A0,,mountain cableway,cable | gondola | mountain | mountain cableway
839,U+1F6A1,,aerial tramway,aerial | cable | car | gondola | tramway
840,U+1F6F0,,satellite,satellite | space
841,U+1F680,,rocket,rocket | space
842,U+1F6F8,,flying saucer,flying saucer | UFO
843,U+1F6CE,,bellhop bell,bell | bellhop | hotel
844,U+1F9F3,,luggage,luggage | packing | travel
845,U+231B,,hourglass done,hourglass done | sand | timer
846,U+23F3,,hourglass not done,hourglass | hourglass not done | sand | timer
847,U+231A,,watch,clock | watch
848,U+23F0,,alarm clock,alarm | clock
849,U+23F1,,stopwatch,clock | stopwatch
850,U+23F2,,timer clock,clock | timer
851,U+1F570,,mantelpiece clock,clock | mantelpiece clock
852,U+1F55B,,twelve o'clock,00 | 12 | 12:00 | clock | o'clock | twelve
853,U+1F567,,twelve-thirty,12 | 12:30 | clock | thirty | twelve | twelve-thirty
854,U+1F550,,one o'clock,00 | 1 | 1:00 | clock | o'clock | one
855,U+1F55C,,one-thirty,1 | 1:30 | clock | one | one-thirty | thirty
856,U+1F551,,two o'clock,00 | 2 | 2:00 | clock | o'clock | two
857,U+1F55D,,two-thirty,2 | 2:30 | clock | thirty | two | two-thirty
858,U+1F552,,three o'clock,00 | 3 | 3:00 | clock | o'clock | three
859,U+1F55E,,three-thirty,3 | 3:30 | clock | thirty | three | three-thirty
